stem,relationship,windows_path,windows_bytes,windows_sha256,dos_path,dos_bytes,dos_sha256,notes
air,matched_stem,Sounds/Air.wav,22572,b80b4d2af7100fdf95bc8c9d9bdf2904d88e7e6b00db886c3452129122885c00,AIR.CLV,45058,407f1887bb2ab7be350ed7293a821dc261c0d4812ce6803bd4af6a0470543743,
attach,matched_stem,Sounds/Attach.wav,3972,86a439e332bbab8bb4a5bc16748e09f6dbdaeebeb168cdd1b674dd507aaf61d4,ATTACH.CLV,7858,27936faf1c73ed961790c005b93d17e47da32b6f936ca43e70301aa3cdeee6c4,
beeps,matched_stem,Sounds/Beeps.wav,7772,045071a5694224eb11498d68907e11cc73fbdb649c68d8659872ae22ae47c337,BEEPS.CLV,15458,47f07816095f2438083a6265ee4d0b38c044ac8ae5ea97310caa17c6b4969a61,
bigexp3,matched_stem,Sounds/Bigexp3.wav,43142,259c0c13792ffc36afaaffeae78712c6e71508022182fd6ac3cd1c1cf5b29f80,BIGEXP3.CLV,86196,ca91b052a3d57ed9c8c8e5d376b13ab369973c571e114526fa09f79003e2f371,
bomb,matched_stem,Sounds/Bomb.wav,9900,452781eb6d4a2457526a49ecf6ff60a006d0ca7f2a94c4c7eead0dea73ba264a,BOMB.CLV,31112,32c163769b16422456c5b0410b4305c8f978e5a4d6cea6d0d5cdbf9f3960c131,windows_sha_alias=Sounds/Missile.wav
boss,matched_stem,Sounds/Boss.wav,29356,d9aec2b39960051c091368d138a0b4a24ef5b31b266f4f30e5651d611733d535,BOSS.CLV,58624,7e20d679f90ce0e79979a0225a0a494ad7e2312650dfa9720bfb0ab39d0b8faa,dos_sha_alias=TOP1.CLV
button1,matched_stem,Sounds/Button1.wav,2244,0456140007003a8f276ff2a7942e75de4cf733a66144ec069b678b3a9eb08dc6,BUTTON1.CLV,4402,9377336af8077170aec1aa8a2dfc3acc502b987fca73b93961ee6eaab571a0da,
choral,matched_stem,Sounds/Choral.wav,240962,2773a5609f0d0dd6c72a0c44e0ca48e7f15671bdbde3aac061f5d61d77f4c51c,CHORAL.CLV,481836,86fe7a236f9f4629169e2fbab439c4b755934004dd7360115e69a38065b35162,
close,matched_stem,Sounds/Close.wav,17792,5fafe938e5e55274a790d904cde76590a04cebe4dfad4a7630c106ede13a8c03,CLOSE.CLV,35498,cc988cb50bbcea8b40ae6c1e5839611cfa472d22e1165a90564ef3041b5e80fc,
damage1,matched_stem,Sounds/Damage1.wav,9020,fa011db52056e06c6411223e79b4035ed8c564dae5c8e5ec49254f0df679056d,DAMAGE1.CLV,17954,fff20c16615b8733e42155ef8aac64cc48ecc65ea39631beac2d3d1d4580e36c,
